Genus;Epithet;Author;Whole
Scyphostelma;filisepalum;(Standl.) Liede & Meve     ;Scyphostelma filisepalum (Standl.) Liede & Meve     
Jobinia;formosa;(N.E.Br.) Liede & Meve     ;Jobinia formosa (N.E.Br.) Liede & Meve     
Cynanchum;goertsianum;Morillo        ;Cynanchum goertsianum Morillo        
Metastelma;huberi;(Morillo) Liede       ;Metastelma huberi (Morillo) Liede       
Scyphostelma;intricatum;(K.Schum.) Liede & Meve     ;Scyphostelma intricatum (K.Schum.) Liede & Meve     
Scyphostelma;isidrense;(Morillo) Liede & Meve     ;Scyphostelma isidrense (Morillo) Liede & Meve     
Cynanchum;jaramilloi;Morillo        ;Cynanchum jaramilloi Morillo        
Cynanchum;leptostephanum;Diels        ;Cynanchum leptostephanum Diels        
Cynanchum;leucophellum;Diels        ;Cynanchum leucophellum Diels        
Cynanchum;ligulatum;(Benth.) Woodson       ;Cynanchum ligulatum (Benth.) Woodson       
Scyphostelma;longecalicinum;(Morillo) Liede & Meve     ;Scyphostelma longecalicinum (Morillo) Liede & Meve     
Cynanchum;longirostrum;(K.Schum.) W.D.Stevens       ;Cynanchum longirostrum (K.Schum.) W.D.Stevens       
Cynanchum;lopezpalaciosii;Morillo        ;Cynanchum lopezpalaciosii Morillo        
Cynanchum;montevidense;Spreng.        ;Cynanchum montevidense Spreng.        
Cynanchum;microstemma;(Turcz.) Morillo       ;Cynanchum microstemma (Turcz.) Morillo       
Cynanchum;nielsenii;Morillo        ;Cynanchum nielsenii Morillo        
Scyphostelma;nubicola;(Morillo) Liede & Meve     ;Scyphostelma nubicola (Morillo) Liede & Meve     
Cynanchum;paramorum;Morillo        ;Cynanchum paramorum Morillo        
Metastelma;paraquense;(Morillo) Liede       ;Metastelma paraquense (Morillo) Liede       
Cynanchum;pietrangelii;Morillo        ;Cynanchum pietrangelii Morillo        
Cynanchum;purpureiflorum;Morillo        ;Cynanchum purpureiflorum Morillo        
